Code,API url
292b,for=tribal%20census%20tract%20(or%20part):{}&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:{}%20american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:{}
310a,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
310b,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
311a,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
311b,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
312a,for=principal%20city%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
312b,for=principal%20city%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
313a,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
313b,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20state%20(or%20part):{}
314a,for=metropolitan%20division:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
314b,for=metropolitan%20division:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
315a,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}
315b,for=state%20(or%20part):{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}
316a,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}%20state%20(or%20part):{}
316b,for=county:{}&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}%20metropolitan%20division:{}%20state%20(or%20part):{}
320a,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}&in=state:{}
320b,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}&in=state:{}
321a,for=principal%20city%20(or%20part):{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}
321b,for=principal%20city%20(or%20part):{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}
322a,for=county:{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}
322b,for=county:{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}
323a,for=metropolitan%20division%20(or%20part):{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}
323b,for=metropolitan%20division%20(or%20part):{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}
324a,for=county:{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}%20metropolitan%20division%20(or%20part):{}
324b,for=county:{}&in=state:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}%20metropolitan%20division%20(or%20part):{}
330a,for=combined%20statistical%20area:{}
330b,for=combined%20statistical%20area:{}
331a,for=state%20(or%20part):{}&in=combined%20statistical%20area:{}
331b,for=state%20(or%20part):{}&in=combined%20statistical%20area:{}
332a,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}&in=combined%20statistical%20area:{}
332b,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}&in=combined%20statistical%20area:{}
333a,for=state%20(or%20part):{}&in=combined%20statistical%20area:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
333b,for=state%20(or%20part):{}&in=combined%20statistical%20area:{}%20metropolitan%20statistical%20area/micropolitan%20statistical%20area:{}
335a,for=combined%20new%20england%20city%20and%20town%20area:{}
335b,for=combined%20new%20england%20city%20and%20town%20area:{}
336a,for=state%20(or%20part):{}&in=combined%20new%20england%20city%20and%20town%20area:{}
336b,for=state%20(or%20part):{}&in=combined%20new%20england%20city%20and%20town%20area:{}
337a,for=new%20england%20city%20and%20town%20area:{}&in=combined%20new%20england%20city%20and%20town%20area:{}
337b,for=new%20england%20city%20and%20town%20area:{}&in=combined%20new%20england%20city%20and%20town%20area:{}
338a,for=state%20(or%20part):{}&in=combined%20new%20england%20city%20and%20town%20area:{}%20new%20england%20city%20and%20town%20area:{}
338b,for=state%20(or%20part):{}&in=combined%20new%20england%20city%20and%20town%20area:{}%20new%20england%20city%20and%20town%20area:{}
340a,for=combined%20statistical%20area%20(or%20part):{}&in=state:{}
340b,for=combined%20statistical%20area%20(or%20part):{}&in=state:{}
341a,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}&in=state:{}%20combined%20statistical%20area%20(or%20part):{}
341b,for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):{}&in=state:{}%20combined%20statistical%20area%20(or%20part):{}
345a,for=combined%20new%20england%20city%20and%20town%20area%20(or%20part):{}&in=state:{}
345b,for=combined%20new%20england%20city%20and%20town%20area%20(or%20part):{}&in=state:{}
